LEA,charter_status,LEA Name,KIND,1,2,3,4,5,6,7,8,9,10,11,12,13,XG,XDY6,XDY7,XDY8,XDY9,XDY10,XDY11,XDY12,XDY13,Total
 39B , Charter , Oxford Preparatory School ,62,54,65,59,71,68,68,73,72,70,66,65,49,,,,,,,,,,,842
 41B , Charter , Greensboro Academy ,86,84,84,84,86,87,84,84,84,,,,,,,,,,,,,,,763
 41C , Charter , Guilford Preparatory Academy ,71,74,47,65,66,61,91,57,61,,,,,,,,,,,,,,,593
 41D , Charter , Phoenix Academy Inc ,139,133,136,136,133,123,138,129,134,139,78,40,17,,,,,,,,,,,"1,475"
 41F , Charter , Triad Math and Science Academy ,109,90,92,89,96,87,128,112,109,95,99,96,81,,,,,,,,,,,"1,283"
 41G , Charter , Cornerstone Charter Academy ,100,99,100,99,101,100,108,108,108,112,107,99,97,,,,,,,,,,,"1,338"
 41H , Charter , The College Preparatory and Leadership A ,76,74,92,66,67,67,75,76,80,63,46,30,29,,,,,,1,,,,,842
 41J , Charter , Summerfield Charter Academy ,90,86,86,89,88,88,86,86,85,,,,,,,,,,,,,,,784
 41K , Charter , Piedmont Classical High School ,,,,,,,,,,122,122,101,99,,,,,,,,,,,444
 41L , Charter , Gate City Charter Academy ,93,84,79,77,81,64,79,69,65,,,,,,,,,,,,,,,691
 41M , Charter , Next Generation Academy ,49,66,68,50,62,62,34,23,,,,,,,,,,,,,,,,414
 41N , Charter , The Experiential School of Greensboro ,21,22,25,30,28,31,40,34,28,,,,,,,,,,,,,,,259
 41Q , Charter , Revolution Academy ,80,80,82,80,82,81,80,80,79,,,,,,,,,,,,,,,724
 41R , Charter , Summit Creek Academy ,93,87,92,79,78,79,73,81,,,,,,,,,,,,,,,,662
 42A , Charter , KIPP Halifax College Preparatory ,49,57,57,64,62,72,76,45,54,,,,,,,,,,,,,,,536
 42B , Charter , Hobgood Charter School ,41,41,49,50,51,50,42,50,47,39,23,17,17,,,,,,,,,,,517
 43C , Charter , Anderson Creek Academy ,38,43,55,60,44,40,,,,,,,,,,,,,,,,,,280
 43D , Charter , Achievement Charter Academy ,37,30,25,34,33,20,11,,,,,,,,,,,,,,,,,190
 44A , Charter , Shining Rock Classical Academy: CFA ,58,67,62,54,57,51,72,60,52,30,19,24,,,,,,,,,,,,606
 45A , Charter , The Mountain Community Sch ,20,19,20,21,22,22,24,24,23,,,,,,,,,,,,,,,195
 45B , Charter , FernLeaf Community Charter School ,95,91,96,47,51,47,48,47,48,47,41,,,,,,,,,,,,,658
 49B , Charter , American Renaissance School ,138,117,98,106,94,75,68,59,58,,,,,,,,,,,,,,,813
 49D , Charter , Success Institute Charter School ,11,7,6,10,11,11,8,10,12,,,,,,,,,,,,,,,86
 49E , Charter , Pine Lake Preparatory ,111,113,119,121,122,121,161,162,165,170,171,169,169,,,,,,,,,,,"1,874"
 49F , Charter , Langtree Charter Academy ,137,121,105,113,101,104,128,138,169,140,111,109,100,,,,,,,,,,,"1,576"
 49G , Charter , Iredell Charter Academy ,102,86,83,83,76,70,68,71,56,,,,,,,,,,,,,,,695
 50A , Charter , Summit Charter ,19,21,20,17,32,31,24,30,35,20,18,13,16,,,,,,,,,,,296
 51A , Charter , Neuse Charter School ,75,81,67,70,65,71,82,75,68,72,64,50,44,,,,,,,,,,,884
 51B , Charter , Johnston Charter Academy ,77,89,83,90,83,85,80,73,73,,,,,,,,,,,,,,,733
 51C , Charter , American Leadership Academy Johnston ,143,142,161,155,156,162,177,171,182,161,132,62,,,,,,,,,,,,"1,804"
 53B , Charter , Ascend Leadership Academy: Lee County ,,,,,,,91,87,86,92,91,73,62,,,,,,,,,,,582
 53C , Charter , MINA Charter School of Lee County ,58,52,55,44,47,44,37,26,22,,,,,,,,,,,,,,,385
 53D , Charter , Central Carolina Academy Charter ,,,,,,,96,92,101,80,39,22,,,,,,,,,,,,430
 54A , Charter , Children's Village Academy ,9,15,17,11,14,21,19,20,17,,,,,,,,,,,,,,,143
 55A , Charter , Lincoln Charter School ,131,145,148,147,152,154,206,202,204,214,199,173,176,,,,,,,,,,,"2,251"
 55B , Charter , West Lake Preparatory Academy ,54,60,47,53,38,41,22,22,20,,,,,,,,,,,,,,,357
 58B , Charter , Bear Grass Charter School ,,,,,,,77,65,60,61,66,51,58,,,,,,,,,,,438
 60B , Charter , Sugar Creek Charter ,92,92,123,112,117,125,150,147,142,129,103,92,75,,,,,,,,,,,"1,499"
 60D , Charter , Lake Norman Charter ,118,120,120,125,125,199,199,200,200,209,207,197,187,,,,,,,,,,,"2,206"
 60F , Charter , Metrolina Regional Scholars Academy ,36,36,40,44,44,60,46,46,46,,,,,,,,,,,,,,,398
 60G , Charter , Queen's Grant Community School ,86,84,87,84,91,84,85,86,84,139,142,148,112,,2,,,,,,,,,"1,314"
 60I , Charter , Community School of Davidson ,107,116,112,120,114,97,102,107,127,143,138,137,137,,2,,,,,,,,,"1,559"
 60J , Charter , Socrates Academy ,104,103,103,101,100,103,78,73,87,49,22,22,,,,,,,,,,,,945
 60K , Charter , Charlotte Secondary School ,,,,,,,19,17,22,34,31,24,19,,,,,,,,,,,166
 60L , Charter , KIPP: Charlotte ,92,79,108,105,107,100,106,98,88,,,,,,,,,,,,,,,883
 60M , Charter , Corvian Community School ,84,81,85,88,90,96,97,100,101,124,109,109,95,,,,,,,,,,,"1,259"
 60N , Charter , Aristotle Preparatory Academy ,12,26,20,18,9,21,15,,,,,,,,,,,,,,,,,121
 60S , Charter , Bradford Preparatory School ,96,107,108,118,122,133,125,129,116,136,121,108,100,,,,,,,,,,,"1,519"
 60U , Charter , Commonwealth High School ,,,,,,,,,,71,100,90,85,,,,,,,,,,,346
 60Y , Charter , Pioneer Springs Community School ,51,47,51,51,45,46,45,49,51,35,32,33,18,,,,,,,,,,,554
 61J , Charter , Lakeside Charter Academy ,51,40,31,34,24,18,21,17,20,,,,,,,,,,,,,,,256
 61K , Charter , United Community School ,33,36,33,34,29,20,21,17,18,,,,,,,,,,,,,,,241
