LEA,charter_status,LEA Name,KIND,1,2,3,4,5,6,7,8,9,10,11,12,13,XG,XDY6,XDY7,XDY8,XDY9,XDY10,XDY11,XDY12,XDY13,Total
 61L , Charter , Stewart Creek High School ,,,,,,,,,,79,117,93,49,,,,,,,,,,,338
 61M , Charter , Charlotte Lab School ,105,95,89,79,82,82,56,68,60,70,81,45,56,,,,,,,,,,,968
 61N , Charter , Queen City STEM School ,87,106,84,88,63,56,51,49,38,23,12,8,12,,,,,,,,,,,677
 61P , Charter , VERITAS Community School ,15,17,13,20,15,12,17,20,21,,,,,,,,,,,,,,,150
 61Q , Charter , Mallard Creek STEM Academy ,100,110,112,106,116,107,108,99,80,,,,,,,,,,,,,,,938
 61R , Charter , Matthews Charter Academy ,95,83,83,88,82,81,83,83,83,,,,,,,,,,,,,,,761
 61S , Charter , Unity Classical Charter School ,113,117,112,84,85,88,45,50,43,,,,,,,,,,,,,,,737
 61T , Charter , Movement Charter School ,115,98,113,90,73,57,60,55,57,,,,,,,,,,,,,,,718
 61V , Charter , Bonnie Cone Classical Academy ,77,99,77,97,71,57,49,,,,,,,,,,,,,,,,,527
 61W , Charter , East Voyager Academy ,22,20,21,17,20,16,21,13,12,,,,,,,,,,,,,,,162
 61X , Charter , Jackson Day School ,76,86,65,74,69,82,92,72,72,66,49,43,44,,,,,,,,,,,890
 61Y , Charter , Steele Creek Preparatory Academy ,51,49,48,50,41,38,31,38,25,,,,,,,,,,,,,,,371
 62A , Charter , Tillery Charter Academy ,33,30,42,23,33,32,18,,,,,,,,,,,,,,,,,211
 62J , Charter , Southwest Charlotte STEM Academy ,90,86,93,81,82,92,122,87,82,,,,,,,,,,,,,,,815
 62K , Charter , Movement School Eastland ,118,111,109,88,48,,,,,,,,,,,,,,,,,,,474
 62L , Charter , Telra Institute ,69,71,75,74,72,63,56,27,22,,,,,,,,,,,,,,,529
 62M , Charter , Bonnie Cone Leadership Academy ,114,73,76,102,82,73,82,135,126,111,40,14,,,,,,,,,,,,"1,028"
 62N , Charter , Aspire Trade High School ,,,,,,,,,,108,76,,,,,,,,,,,,,184
 62P , Charter , Movement School Southwest ,79,77,51,,,,,,,,,,,,,,,,,,,,,207
 62R , Charter , Movement School Northwest ,80,25,,,,,,,,,,,,,,,,,,,,,,105
 63A , Charter , The Academy of Moore County ,89,78,88,83,74,49,,,,,,,,,,,,,,,,,,461
 63B , Charter , Sandhills Theatre Arts Renaiss ,83,92,99,85,98,101,97,94,91,,,6,16,,,,,,,,,,,862
 63C , Charter , Moore Montessori Community School ,53,38,42,29,17,20,13,16,,,,,,,,,,,,,,,,228
 64A , Charter , Rocky Mount Preparatory ,70,63,66,68,63,76,63,69,75,67,61,51,49,,,,,,,,,,,841
 65A , Charter , Cape Fear Center for Inquiry ,40,40,44,43,46,48,48,47,46,,,,,,,,,,,,,,,402
 65B , Charter , Wilmington Preparatory Academy ,11,13,13,9,11,9,7,9,10,,,,,,,,,,,,,,,92
 65C , Charter , Classical Charter Schools of Wilmington ,24,25,20,20,24,22,,,,,,,,,,,,,,,,,,135
 65D , Charter , Island Montessori Charter ,27,26,24,25,24,25,23,21,19,,,,,,,,,,,,,,,214
 65F , Charter , American Leadership Academy-Coastal ,88,82,94,100,83,77,84,89,90,49,17,,,,,,,,,,,,,853
 65G , Charter , Girls Leadership Academy of Wilmington ,,,,,,,59,58,71,38,46,25,33,,,,,,,,,,,330
 65H , Charter , Wilmington School of the Arts ,42,44,43,43,15,24,9,,,,,,,,,,,,,,,,,220
 66A , Charter , KIPP Gaston College Preparatory ,63,90,97,93,81,102,88,94,85,107,91,94,65,,,,,,,,,,,"1,150"
 67B , Charter , Z.E.C.A. School of Arts and Technology ,16,11,13,14,18,8,7,8,8,,,,,,,,,,,,,,,103
 68A , Charter , Eno River Academy ,41,40,39,40,41,41,61,63,63,92,94,94,88,,,,,,,,,,,797
 68C , Charter , The Expedition School ,40,41,41,40,40,43,44,42,29,,,,,,,,,,,,,,,360
 69A , Charter , Arapahoe Charter School ,29,37,46,32,40,37,43,44,50,37,28,30,13,,,,,,,,,,,466
 70A , Charter , Northeast Academy of Aerospace & AdvTech ,,,,,,99,98,97,98,98,92,87,76,,,,,,,,,,,745
 73A , Charter , Bethel Hill Charter ,62,60,60,56,56,55,,,,,,,,,,,,,,,,,,349
 73B , Charter , Roxboro Community School ,,,,,,,113,106,109,113,91,85,83,,,,,,,,,,,700
 74C , Charter , Winterville Charter Academy ,70,83,71,72,52,58,55,67,59,,,,,,,,,,,,,,,587
 76A , Charter , Uwharrie Charter Academy ,107,112,105,116,115,145,201,205,197,229,210,197,154,,,,,,,,,,,"2,093"
 78A , Charter , CIS Academy ,,,,,,,34,40,36,,,,,,,,,,,,,,,110
 78B , Charter , Southeastern Academy ,20,23,23,25,24,25,25,24,26,,,,,,,,,,,,,,,215
 78C , Charter , Old Main Stream ,63,56,44,39,46,47,43,,,,,,,,,,,,,,,,,338
 79A , Charter , Bethany Community School ,,,,,,,79,99,98,98,96,82,51,,,,,,,,,,,603
 79C , Charter , Legacy Classical ,37,24,14,21,23,,,,,,,,,,,,,,,,,,,119
 80C , Charter , Faith Academy ,80,94,85,84,71,79,77,83,78,42,,,,,,,,,,,,,,773
 81A , Charter , Thomas Jefferson Classical Academy ,105,110,113,106,114,106,119,120,115,118,98,88,77,,,,,,,,,,,"1,389"
 81B , Charter , Lake Lure Classical Academy ,28,35,29,38,29,34,26,38,48,46,32,35,22,,,,,,,,,,,440
 84B , Charter , Gray Stone Day School ,,,,,,,105,121,128,105,109,94,89,,,,,,,,,,,751
 86T , Charter , Millennium Charter Academy ,60,62,52,61,56,59,58,59,56,39,29,33,26,,,,,,,,,,,650
 87A , Charter , Mountain Discovery Charter School ,22,29,20,20,21,22,21,18,16,,,,,,,,,,,,,,,189
 88A , Charter , Brevard Academy ,44,43,45,50,45,42,50,47,41,,,,,,,,,,,,,,,407
 90A , Charter , Union Academy Charter School ,157,168,171,172,177,179,188,175,173,178,163,140,131,,1,,,,,,,,,"2,173"
 90B , Charter , Union Day School ,68,65,65,61,70,62,81,59,64,30,20,,,,,,,,,,,,,645
 90C , Charter , Union Preparatory Academy at Indian Trai ,118,115,113,119,122,121,117,114,111,69,39,,,,,,,,,,,,,"1,158"
 90D , Charter , Monroe Charter Academy ,34,19,19,19,24,14,25,,,,,,,,,,,,,,,,,154
 90F , Charter , Apprentice Academy HS of NC ,,,,,,,,40,25,31,38,48,31,,,,,,,,,,,213
 91A , Charter , Vance Charter School ,60,64,61,63,69,69,74,78,74,84,83,84,81,,,,,,,,,,,944
 91B , Charter , Henderson Collegiate ,101,100,96,99,86,101,104,103,104,107,98,87,91,,,,,,,,,,,"1,277"
 92B , Charter , The Exploris School ,30,35,38,38,39,37,73,75,75,,,,,,,,,,,,,,,440
 92D , Charter , Magellan Charter ,,,,68,69,68,69,68,67,,,,,,,,,,,,,,,409
 92E , Charter , Sterling Montessori Academy ,68,77,80,79,70,73,52,65,63,,,,,,,,,,,,,,,627
 92F , Charter , Franklin Academy ,120,120,121,124,125,125,132,131,131,136,139,119,116,,,,,,,,,,,"1,639"
 92G , Charter , East Wake Academy ,79,82,87,97,101,98,97,97,99,104,105,97,88,,,,,,,,,,,"1,231"
 92K , Charter , Raleigh Charter High School ,,,,,,,,,,146,141,129,138,,,,,,,,,,,554
 92M , Charter , PreEminent Charter School ,91,84,79,77,77,70,68,71,73,,,,,,,,,,,,,,,690
 92N , Charter , Quest Academy ,16,15,16,17,16,16,16,16,16,,,,,,,,,,,,,,,144
 92P , Charter , Southern Wake Academy ,,,,,,,63,86,90,80,87,68,63,,,,,,,,,,,537
 92R , Charter , Casa Esperanza Montessori ,120,97,92,78,70,62,35,45,42,,,,,,,,,,,,,,,641
 92S , Charter , Endeavor Charter ,79,79,81,81,84,81,99,98,100,,,,,,,,,,,,,,,782
 92T , Charter , Triangle Math and Science Academy ,105,109,107,106,105,107,107,106,107,100,105,92,68,,,,,,,,,,,"1,324"
 92U , Charter , Longleaf School of the Arts ,,,,,,,,,,107,110,92,99,,,,,,,,,,,408
 92V , Charter , Wake Forest Charter Academy ,76,81,80,83,86,82,87,86,71,,,,,,,,,,,,,,,732
 92W , Charter , Cardinal Charter ,97,92,69,90,72,84,77,66,54,,,,,,,,,,,,,,,701
 92Y , Charter , Envision Science Academy ,71,80,84,84,86,87,86,83,80,,,,,,,,,,,,,,,741
 93A , Charter , Haliwa-Saponi Tribal School ,8,8,4,3,11,11,11,19,6,18,17,13,13,,,,,,,,,,,142
 93J , Charter , RISE Southeast Raleigh Charter School ,52,59,55,56,53,53,47,48,47,,,,,,,,,,,,,,,470
 93L , Charter , Central Wake Charter High School ,,,,,,,,,,116,67,38,42,,,,,,,,,,,263
 93M , Charter , Peak Charter Academy ,86,90,86,84,88,85,85,83,82,,,,,,,,,,,,,,,769
 93N , Charter , Pine Springs Preparatory Academy ,123,124,124,126,124,124,173,174,168,,,,,,,,,,,,,,,"1,260"
 93P , Charter , Rolesville Charter Academy ,103,84,102,87,84,83,76,60,59,,,,,,,,,,,,,,,738
 93Q , Charter , Carolina Charter Academy: CFA ,119,99,100,96,97,70,73,75,70,,,,,,,,,,,,,,,799
 93R , Charter , Raleigh Oak Charter School ,40,42,36,31,33,30,28,19,10,,,,,,,,,,,,,,,269
 93T , Charter , Cardinal Charter Academy at Wendell Falls ,80,93,72,79,53,41,71,57,42,,,,,,,,,,,,,,,588
 93V , Charter , Doral Academy North Carolina ,111,102,97,48,46,48,,,,,,,,,,,,,,,,,,452
 93Y , Charter , The Math and Science Academy (TMSA) Apex ,42,109,109,107,103,106,107,,,,,,,,,,,,,,,,,683
 94A , Charter , Pocosin Innovative Charter ,36,37,26,33,29,31,17,31,18,,,,,,,,,,,,,,,258
 95A , Charter , Two Rivers Community School ,15,21,22,20,20,10,22,10,21,,,,,,,,,,,,,,,161
 96C , Charter , Dillard Academy ,26,29,30,28,32,27,25,24,24,,,,,,,,,,,,,,,245
 96F , Charter , Wayne Preparatory ,54,65,75,64,76,83,77,78,83,79,65,55,46,,1,,,,,,,,,901
 96G , Charter , Wayne STEM Preparatory ,61,41,36,34,,,,,,,,,,,,,,,,,,,,172
 98A , Charter , Sallie B Howard School ,95,97,107,110,114,138,105,109,97,69,79,56,28,,,,,,,,,,,"1,204"
 98B , Charter , Wilson Preparatory Academy ,58,44,68,52,60,58,54,70,66,62,50,37,43,,,,,,,,,,,722
 34Z , Charter , Appalachian State U Academy Middle Fork , 52 , 45 , 55 , 37 , 45 , 44 ,,,,,,,,,,,,,,,,,,278
 41Z , Charter , Aggie Academy ,,,, 27 , 30 , 24 ,,,,,,,,,,,,,,,,,,81
 50Z , Charter , Catamount School ,,,,,,,18,16,23,,,,,,,,,,,,,,,57
 60Z , Charter , Niner University Elementary School , 24 , 21 , 21 , 31 , 17 , 16 ,,,,,,,,,,,,,,,,,,130
 65Z , Charter , D.C. Virgo Preparatory Academy , 17 , 23 , 17 , 22 , 18 , 19 ,35,26,11,,,,,,,,,,,,,,,188
 73Z , Charter , Carolina Community Academy , 37 , 30 ,,,,,,,,,,,,,,,,,,,,,,67
 74Z , Charter , East Carolina Community School , 13 , 19 , 19 , 24 , 22 , 19 ,,,,,,,,,,,,,,,,,,116
 86Z , Charter , Appalachian State Univ Academy at Elkin ,,, 22 , 17 , 34 ,,,,,,,,,,,,,,,,,,,73
 94Z , Charter , Northeast Regional School - Biotech/Agri ,,,,,,,,,,30,25,34,26,7,,,,,,,,,,122
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
