dist_id,district,adm,charter_status,ed_adm,ed_pct,high_pov_1,high_pov_2,el_adm,swd_total,swd_aut,swd_dd,swd_ed,swd_hi,swd_id,swd_md,swd_ohi,swd_oi,swd_sld,swd_sli,swd_tbi,swd_vi,swd_db,aig_enroll,sq_mi,current_pp,sparsity_23,el_pct,current_total
41M,Next Generation Academy,414,Charter,325.15500000000003,0.795,0,1,9,41,2,2,0,0,1,0,3,0,18,15,0,0,0,0,NA,7075.4,0,0.021739130434782608,2929215.5999999996
41N,The Experiential School of Greensboro,259,Charter,108.966,0.429,0,1,9,60,16,0,1,0,2,0,12,0,22,6,1,0,0,0,NA,8058.88,0,0.03474903474903475,2087249.92
41Q,Revolution Academy,724,Charter,120.74100000000001,0.167,0,0,9,88,11,5,0,1,0,1,14,0,30,26,0,0,0,0,NA,7172.33,0,0.012430939226519336,5192766.92
41R,Summit Creek Academy,662,Charter,463.68,0.72,0,1,0,98,23,9,0,1,3,0,10,1,33,17,1,0,0,0,NA,6989.89,0,0,4627307.180000001
42A,KIPP Halifax College Preparatory,536,Charter,425.16900000000004,0.783,0,1,13,51,6,1,5,1,10,0,8,0,11,9,0,0,0,0,NA,11392.87,0,0.024253731343283583,6106578.32
42B,Hobgood Charter School,517,Charter,210.07999999999998,0.40399999999999997,0,1,9,84,6,3,0,0,6,2,15,0,30,21,0,1,0,0,NA,11359.61,0,0.017408123791102514,5872918.37
43C,Anderson Creek Academy,280,Charter,87.906,0.322,0,0,9,28,4,2,0,0,0,0,5,0,4,13,0,0,0,0,NA,7913.99,0,0.03214285714285714,2215917.1999999997
43D,Achievement Charter Academy,190,Charter,92.07,0.495,0,1,9,28,4,4,2,0,1,0,2,0,12,2,1,0,0,0,NA,8522.88,0,0.04736842105263158,1619347.2
44A,Shining Rock Classical Academy: CFA,606,Charter,336.938,0.574,0,1,9,116,18,3,4,0,6,0,15,0,55,13,2,0,0,0,NA,7947.92,0,0.01485148514851485,4816439.5200000005
45A,The Mountain Community Sch,195,Charter,60.023,0.311,0,0,0,41,4,1,0,0,0,0,6,0,16,14,0,0,0,22,NA,7948.23,0,0,1549904.8499999999
45B,FernLeaf Community Charter School,658,Charter,230.15599999999998,0.353,0,0,0,112,25,6,4,0,3,0,27,1,27,17,1,1,0,0,NA,7367.71,0,0,4847953.18
49B,American Renaissance School,813,Charter,413.696,0.512,0,1,11,162,16,14,3,1,4,1,27,0,54,42,0,0,0,0,NA,7419.57,0,0.013530135301353014,6032110.41
49D,Success Institute Charter School,86,Charter,80.99000000000001,0.91,1,0,9,31,1,2,0,0,3,0,4,0,17,4,0,0,0,0,NA,8872.5,0,0.10465116279069768,763035
49E,Pine Lake Preparatory,1874,Charter,121.485,0.065,0,0,9,177,16,1,2,1,5,1,50,0,54,47,0,0,0,0,NA,7016.56,0,0.0048025613660619,13149033.440000001
